,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,1,GM,Oparin Grigoriy,2652,0,1 - 0,0,,Agrawal Anay,1464,74
1,2,3,GM,Xu Yinglun,2554,0,1 - 0,0,,Davis Christopher,1337,76
2,3,5,IM,Grinberg Eyal,2491,0,1 - 0,0,,Sharma Siri,1320,78
3,4,7,IM,Osmak Iulija,2428,0,1 - 0,0,,Mejia Teran Daniel,1271,80
4,5,9,IM,Gatineau Yovann,2401,0,1 - 0,0,,Shivaram Acharya,1145,82
5,6,11,IM,Gomez Sanchez Jorge Marcos,2352,0,1 - 0,0,,Aayush Sahay,0,84
6,7,13,FM,Bosnjak Petar,2308,0,1 - 0,0,,Arcos Tejeda Alvaro,0,94
7,8,15,WGM,Uuriintuya Uurtsaikh,2288,0,+ - -,0,,Castillo Osiel,0,124
8,9,17,,Vojinovic Luka,2265,0,1 - 0,0,,Cortes Contreras Sinuhe Isay,0,136
9,10,19,,Matanovic Luka,2251,0,+ - -,0,,DURAND Hugo,0,108
10,11,21,,Vojak Daniel,2232,0,1 - 0,0,,Dewar Adam,0,87
11,12,23,FM,Amaro Alfonso Raynner,2186,0,0 - 1,0,,Elabu Samuel Peter,0,133
12,13,25,CM,Manukyan Artyom,2148,0,1 - 0,0,,Gabriel Paul,0,125
13,14,27,,Kools Thomas,2103,0,1 - 0,0,,Gelis Alexis,0,92
14,15,29,,Wei Siwei,2099,0,1 - 0,0,,Handiar Bagas Prakoso W. P.,0,98
15,16,31,,Felix Soto Alfredo,2075,0,1 - 0,0,,Jabbour Wassim,0,142
16,17,33,WFM,Naran-Erdene Naranbaatar,2055,0,1 - 0,0,,Juarez Guadarrama Jonathan Ismae,0,110
17,18,35,,Xia Xiangchen,2039,0,1 - 0,0,,Konig Severin,0,135
18,19,37,,Rosicki Marcin,2023,0,1 - 0,0,,Leboeuf Mathieu,0,122
19,20,39,CM,Owen Michael,1991,0,+ - -,0,,Marek Maciej,0,118
