,Bo.,No.,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg,No.
0,1,27,,"Bauer,Dieter",1699,0,0 - 1,0,,"Goldschmidt,Raimar,Dr.",1800,1
1,2,2,,"White,Gary",1797,0,0 - 1,0,,"Kaesemann,Holger,Dr.",1690,28
2,3,29,,"Tkac,Miroslav",1682,0,1 - 0,0,,"Klaus,Egon",1795,3
3,4,4,,"Wallner,Michael",1792,0,1 - 0,0,,"Helps,David",1677,30
4,5,31,,"Cordts,Elof",1676,0,½ - ½,0,,"Haag,Rolf",1772,6
5,6,7,,"Winter,Kevin",1771,0,½ - ½,0,,"Bekkesletten,Cato",1675,32
6,7,33,,"Rohde,Bernhard",1675,0,1 - 0,0,,"Wiser,Hans-Rudolf",1768,8
7,8,9,,"Auschkalnis,Reinhard",1767,0,½ - ½,0,,"Engau,Fritz",1670,34
8,9,35,,"Mendow,Wolfgang",1666,0,1 - 0,0,,"Krüger,Detlef",1763,10
9,10,11,,"Haemmerle,Dietmar",1757,0,½ - ½,0,,"Hirn,Thomas",1658,36
10,11,37,,"Russ,Oliver",1656,0,½ - ½,0,,"Meyer,Marcel",1757,12
11,12,13,,"Röhrig,Uwe",1757,0,0 - 1,0,,"Bonferroni,Carlo",1655,38
12,13,39,,"Kaltschmidt,Andreas",1651,0,,0,,"Schoch,Heinz",1757,14
13,14,15,,"Wagner,Frank",1754,0,½ - ½,0,,"Mencke,Hans-Jürgen",1648,40
14,15,41,,"Kutschker,Alexander",1645,0,0 - 1,0,,"Haugen,Lars Tormod",1741,18
15,16,19,,"Stoffregen, Günter",1727,0,1 - 0,0,,"Britschgi,Carmen",1637,42
16,17,43,,"Gautier,Marc",1631,0,½ - ½,0,,"Stronk,Klaus",1726,20
17,18,21,,"Karner,Sylvia",1718,0,1 - 0,0,,"Fowler,David J",1624,44
18,19,45,,"Gilbert,David J",1620,0,½ - ½,0,,"Lachausse,Bruno",1712,22
19,20,23,,"Faber,Simon",1709,0,1 - 0,0,,"Nadler,Bernhard",1617,46
20,21,47,,"Fleischmann,Theo",1609,0,1 - 0,0,,"Schimmer,Michael",1707,24
21,22,25,,"Becker,Ralph",1701,0,½ - ½,0,,"Krause,Helmut",1606,48
22,23,49,,"Bakkes, Frits",1602,0,0 - 1,0,,"Lammens,Ed",1700,26
